Temporary Emergency Court of Appeals,0,Federal&nbsp;Special,"http://www.fjc.gov/history/home.nsf/page/courts_special_tecoa.html",tecoa,Temp. Emerg. Ct. App.,1971-12-01,1992-10-29,Yes,2013-08-14T15:20
Foreign Intelligence Surveillance Court of Review,2,Federal&nbsp;Special,"http://www.fisc.uscourts.gov/",fiscr,FISA Ct. Rev.,1978-10-25,Unknown,Yes,2014-05-27T08:58
Foreign Intelligence Surveillance Court,5,Federal&nbsp;Special,"http://www.fisc.uscourts.gov/",fisc,FISA Ct.,1978-10-25,Unknown,Yes,2014-05-27T08:58
Special Court under the Regional Rail Reorganization Act,40,Federal&nbsp;Special,"http://www.uscourts.gov/news/TheThirdBranch/96-11-01/Special_Railroad_Court_to_Close_Doors.aspx",reglrailreorgct,Regl. Rail Reorg. Act,1973-01-01,1996-03-01,Yes,2013-08-14T15:20
United States Court of International Trade,4490,Federal&nbsp;Special,"http://www.cit.uscourts.gov/",cit,Ct. Intl. Trade,Unknown,Unknown,Yes,2019-02-06T11:45
Bankruptcy Appellate Panel of the First Circuit,283,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.bap1.uscourts.gov/",bap1,1st Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:27
Bankruptcy Appellate Panel of the Second Circuit,27,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.bap2.uscourts.gov/",bap2,2d Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
Bankruptcy Appellate Panel of the Sixth Circuit,254,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.bap6.uscourts.gov/",bap6,6th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
United States Bankruptcy Appellate Panel for the Eighth Circuit,514,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.ca8.uscourts.gov/bankruptcy-appellate-panel",bap8,8th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
United States Bankruptcy Appellate Panel for the Ninth Circuit,2942,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.ca9.uscourts.gov/bap/",bap9,9th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
Bankruptcy Appellate Panel of the Tenth Circuit,437,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.bap10.uscourts.gov/",bap10,10th Cir. BAP,Unknown,Unknown,Yes,2014-09-02T15:59
Bankruptcy Appellate Panel--D. Maine,2,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.meb.uscourts.gov/",bapme,Me. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
Bankruptcy Appellate Panel of Massachusetts,3,Federal&nbsp;Bankruptcy&nbsp;Panel,"http://www.uscourts.gov/",bapma,Mass. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
United States Bankruptcy Court--M.D. Alabama,180,Federal&nbsp;Bankruptcy,"http://www.almb.uscourts.gov/",almb,Bankr. M.D. Ala.,Unknown,Unknown,Yes,2013-08-14T16:55
United States Bankruptcy Court--N.D. Alabama,459,Federal&nbsp;Bankruptcy,"http://www.alnb.uscourts.gov/",alnb,Bankr. N.D. Ala.,Unknown,Unknown,Yes,2013-08-14T18:21
United States Bankruptcy Court--S.D. Alabama,114,Federal&nbsp;Bankruptcy,"http://www.alsb.uscourts.gov/",alsb,Bankr. S.D. Ala.,Unknown,Unknown,Yes,2013-08-15T09:44
United States Bankruptcy Court--D. Alaska,51,Federal&nbsp;Bankruptcy,"http://www.akb.uscourts.gov/",akb,Bankr. D. Alaska,Unknown,Unknown,Yes,2013-08-14T17:32
United States Bankruptcy Court--D. Arizona,355,Federal&nbsp;Bankruptcy,"https://ecf.azb.uscourts.gov/",arb,Bankr. D. Ariz.,Unknown,Unknown,Yes,2013-08-14T22:40
United States Bankruptcy Court--E.D. Arkansas,520,Federal&nbsp;Bankruptcy,"http://www.arb.uscourts.gov/",areb,Bankr. E.D. Ark.,Unknown,Unknown,Yes,2013-08-14T22:23
United States Bankruptcy Court--W.D. Arkansas,241,Federal&nbsp;Bankruptcy,"http://www.arb.uscourts.gov/",arwb,Bankr. W.D. Ark.,Unknown,Unknown,Yes,2013-08-14T18:00
United States Bankruptcy Court--C.D. California,568,Federal&nbsp;Bankruptcy,"http://www.cacb.uscourts.gov/",cacb,Bankr. C.D. Cal.,Unknown,Unknown,Yes,2019-02-06T11:54
United States Bankruptcy Court--E.D. California,274,Federal&nbsp;Bankruptcy,"http://www.caeb.uscourts.gov/",caeb,Bankr. E.D. Cal.,Unknown,Unknown,Yes,2013-08-14T18:03
United States Bankruptcy Court--N.D. California,337,Federal&nbsp;Bankruptcy,"http://www.canb.uscourts.gov/",canb,Bankr. N.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30
United States Bankruptcy Court--S.D. California,348,Federal&nbsp;Bankruptcy,"http://www.casb.uscourts.gov/",casb,Bankr. S.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30
United States Bankruptcy Court--D. Colorado,744,Federal&nbsp;Bankruptcy,"http://www.cob.uscourts.gov/",cob,Bankr.D. Colo.,Unknown,Unknown,Yes,2013-08-14T17:23
United States Bankruptcy Court--D. Connecticut,822,Federal&nbsp;Bankruptcy,"http://www.ctb.uscourts.gov/",ctb,Bankr. D. Conn.,Unknown,Unknown,Yes,2013-08-14T17:24
United States Bankruptcy Court--D. Delaware,873,Federal&nbsp;Bankruptcy,"http://www.deb.uscourts.gov/",deb,Bankr. D. Del.,Unknown,Unknown,Yes,2013-08-15T09:45
United States Bankruptcy Court--District of Columbia,1,Federal&nbsp;Bankruptcy,"http://www.dcb.uscourts.gov/",dcb,Bankr. D.C.,Unknown,Unknown,Yes,2013-08-14T17:00
United States Bankruptcy Court--M.D. Florida,2870,Federal&nbsp;Bankruptcy,"http://www.flmb.uscourts.gov/",flmb,Bankr. M.D. Fla.,Unknown,Unknown,Yes,2013-08-14T17:05
United States Bankruptcy Court--N.D. Florida,266,Federal&nbsp;Bankruptcy,"http://www.flnb.uscourts.gov/",flnb,Bankr. N.D. Fla.,Unknown,Unknown,Yes,2013-08-14T17:44
United States Bankruptcy Court--S.D. Florida.,1632,Federal&nbsp;Bankruptcy,"http://www.flsb.uscourts.gov/",flsb,Bankr. S.D. Florida,Unknown,Unknown,Yes,2013-08-14T16:54
United States Bankruptcy Court--M.D. Georgia,463,Federal&nbsp;Bankruptcy,"http://www.gamb.uscourts.gov/",gamb,Bankr. M.D. Ga.,Unknown,Unknown,Yes,2013-08-14T22:53
United States Bankruptcy Court--N.D. Georgia,812,Federal&nbsp;Bankruptcy,"http://www.ganb.uscourts.gov/",ganb,Bankr. N.D. Ga.,Unknown,Unknown,Yes,2013-08-14T17:41
United States Bankruptcy Court--S.D. Georgia,361,Federal&nbsp;Bankruptcy,"http://www.gasb.uscourts.gov/",gasb,Bankr. S.D. Ga.,Unknown,Unknown,Yes,2013-08-14T16:32
United States Bankruptcy Court--D. Hawaii,163,Federal&nbsp;Bankruptcy,"http://www.hib.uscourts.gov/",hib,Bankr. D. Haw.,Unknown,Unknown,Yes,2013-08-15T09:30
United States Bankruptcy Court--D. Idaho,430,Federal&nbsp;Bankruptcy,"http://www.id.uscourts.gov/",idb,Bankr. D. Idaho,Unknown,Unknown,Yes,2013-08-14T18:15
United States Bankruptcy Court--C.D. Illinois,428,Federal&nbsp;Bankruptcy,"http://www.ilcb.uscourts.gov/",ilcb,Bankr. C.D. Ill.,Unknown,Unknown,Yes,2017-08-14T11:03
United States Bankruptcy Court--N.D. Illinois,1917,Federal&nbsp;Bankruptcy,"http://www.ilnb.uscourts.gov/",ilnb,Bankr. N.D. Ill.,Unknown,Unknown,Yes,2017-08-14T11:03
United States Bankruptcy Court--S.D. Illinois,220,Federal&nbsp;Bankruptcy,"http://www.ilsb.uscourts.gov/",ilsb,Bankr. S.D. Ill.,Unknown,Unknown,Yes,2013-08-15T09:06
United States Bankruptcy Court--N.D. Indiana,366,Federal&nbsp;Bankruptcy,"http://www.innb.uscourts.gov/",innb,Bankr. N.D. Ind.,Unknown,Unknown,Yes,2013-08-15T09:34
United States Bankruptcy Court--S.D. Indiana,170,Federal&nbsp;Bankruptcy,"http://www.insb.uscourts.gov/",insb,Bankr. S.D. Ind.,Unknown,Unknown,Yes,2013-08-15T09:19
United States Bankruptcy Court--N.D. Iowa,397,Federal&nbsp;Bankruptcy,"http://www.ianb.uscourts.gov/",ianb,Bankr. D. Iowa,Unknown,Unknown,Yes,2013-08-14T17:37
United States Bankruptcy Court--S.D. Iowa,138,Federal&nbsp;Bankruptcy,"http://www.iasb.uscourts.gov/",iasb,Bankr. S.D. Iowa,Unknown,Unknown,Yes,2013-08-14T18:01
United States Bankruptcy Court--D. Kansas,624,Federal&nbsp;Bankruptcy,"http://www.ksb.uscourts.gov/",ksb,Bankr. D. Kan.,Unknown,Unknown,Yes,2013-08-14T16:43
United States Bankruptcy Court--E.D. Kentucky,116,Federal&nbsp;Bankruptcy,"http://www.kyeb.uscourts.gov/",kyeb,Bankr. E.D. Ky.,Unknown,Unknown,Yes,2013-08-15T10:03
United States Bankruptcy Court--W.D. Kentucky,511,Federal&nbsp;Bankruptcy,"http://www.kywb.uscourts.gov/",kywb,Bankr. W.D. Ky.,Unknown,Unknown,Yes,2013-08-15T09:23
United States Bankruptcy Court--E.D. Louisiana,102,Federal&nbsp;Bankruptcy,"http://www.laeb.uscourts.gov/",laeb,Bankr. E.D. La.,Unknown,Unknown,Yes,2013-08-14T22:54
United States Bankruptcy Court--M.D. Louisiana,109,Federal&nbsp;Bankruptcy,"http://www.lamb.uscourts.gov/",lamb,Bankr. M.D. La.,Unknown,Unknown,Yes,2013-08-14T22:37
United States Bankruptcy Court--W.D. Louisiana,188,Federal&nbsp;Bankruptcy,"http://www.lawb.uscourts.gov/",lawb,Bankr. W.D. La.,Unknown,Unknown,Yes,2013-08-15T09:01
United States Bankruptcy Court--D. Maine,319,Federal&nbsp;Bankruptcy,"http://www.meb.uscourts.gov/",meb,Bankr. D. Me.,Unknown,Unknown,Yes,2017-08-14T11:04
United States Bankruptcy Court--D. Maryland,505,Federal&nbsp;Bankruptcy,"http://www.mdb.uscourts.gov/",mdb,Bankr. D. Md.,Unknown,Unknown,Yes,2013-08-14T18:06
United States Bankruptcy Court--D. Massachusetts,1502,Federal&nbsp;Bankruptcy,"http://www.mab.uscourts.gov/",mab,Bankr. D. Mass.,Unknown,Unknown,Yes,2013-08-14T16:41
United States Bankruptcy Court--E.D. Michigan,745,Federal&nbsp;Bankruptcy,"http://www.mieb.uscourts.gov/",mieb,Bankr. E.D. Mich.,Unknown,Unknown,Yes,2013-08-14T18:10
United States Bankruptcy Court--W.D. Michigan,404,Federal&nbsp;Bankruptcy,"http://www.miwb.uscourts.gov/",miwb,Bankr. W.D. Mich.,Unknown,Unknown,Yes,2013-08-14T17:48
United States Bankruptcy Court--D. Minnesota,688,Federal&nbsp;Bankruptcy,"http://www.mnb.uscourts.gov/",mnb,Bankr. D. Minn.,Unknown,Unknown,Yes,2013-08-14T17:13
United States Bankruptcy Court--N.D. Mississippi,172,Federal&nbsp;Bankruptcy,"http://www.msnb.uscourts.gov/",msnb,Bankr. N.D. Miss.,Unknown,Unknown,Yes,2013-08-15T09:22
